视频标题,视频发布日期,作者昵称,作者抖音号,是否AA专注作者,视频播放次数,活跃玩家播放次数,付费玩家播放次数,活跃玩家播放占比,付费玩家播放占比
还睡？  起来电话了。      #光遇 #光遇追光计划 #光遇花憩节#光遇人均小太阳  yc未知,2026-04-11 18:12:17,阿四,ASi4.,是,1914688,257146,0,13.43,0
用一朵花，一阵风，一次拥抱对抗暴力游戏的上海传奇-陈星汉 #光遇 #风之旅人 #陈星汉 #游戏杂谈 #上海,2026-04-08 23:37:36,蒙眼布,GrandmaHunter,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
当bro以为自己很有影响力时： #光遇 #光遇老奶奶 #光遇花憩节#光遇人均小太阳 #光遇追光计划,2026-04-08 18:08:28,某某,banbianli,是,1868362,354107,0,18.95,0
“白月光替身” （大家放心，后面有跟小黑和崽崽讲清楚是整蛊嘟🌹）#光遇 #光遇追光计划 #游戏破壁计划#光遇花憩节#光遇人均小太阳,2026-04-06 19:50:13,青漓,43194234942,是,1868194,382285,0,20.46,0
跳⃠跃⃠不⃠是⃠罪⃠过⃠@随 #光遇 #光遇追光计划 #光遇花憩节  #光遇人均小太阳 f@獭见不懒,2026-03-30 18:08:05,沈澈,60179659602,是,1858736,45716,0,2.46,0
记得握紧我伸出的手#化学 #化学实验 #光遇 #知识前沿派对,2026-01-17 05:27:39,难晴雨,yu3375349136,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
给我擦皮鞋👞 #光遇 #光遇追光计划 #光遇26马年迎新春#光遇马上见#光遇织光季,2026-02-11 17:41:29,sky益生菌,woshidawang..,是,1829697,680,0,0.04,0
自由d关系，想d什么都可以，携手cp，寻找固玩，监护来，崽子来，全都来#光遇蹲人 #光遇 #光遇追光计划 #斜绿 #光遇织光季 yc@Sky白🍚 @抖音小助手 @DOU+小助手,2026-04-03 00:04:13,sky木,57771078774,是,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
光遇五大痛点 #光遇 #光遇日常 #光遇追光计划 #光遇痛点 #sky,2026-03-17 17:12:35,yuyu,64555543283,是,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
,2026-03-19 23:14:37,爱附身的小莉莉,91616013436,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
弹幕怎么还自带BGM yc@sky.桉朝 f@白又 #光遇26马年迎新春 #光遇马上见 #光遇 #光遇追光计划 #正樱,2026-02-24 11:51:23,v霜鸡v,55148985485,是,1681569,26828,0,1.6,0
三人行 #光遇花憩节 #光遇人均小太阳 #光遇 #光遇追光计划 #二次元,2026-04-04 20:46:33,三夭,1252618151,是,1568841,196903,0,12.55,0
大半夜的很恐怖耶（不是玩家）#光遇景点打卡 #光遇花憩节#le,2026-04-02 01:31:04,明天见..,78285927626,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
苦等一人归…不对，这什么招式？yc@Sky 小新 #光遇 #卡菇 #光遇追光计划 #霞谷双子 #光遇花憩节,2026-03-23 17:21:00,Mahu.,22638566626,是,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
还我香香的小崽崽(大哭😭)@仓鼠小小张 #光遇 #光遇追光计划 #光遇花憩节 #光遇人均小太阳#我在光遇看短剧,2026-04-09 08:14:08,棠梨.光遇,76276343895,是,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
光遇,2026-04-10 21:40:32,御柴,switchgodles03,否,非推广挂载,非推广挂载,非推广挂载,非推广挂载,非推广挂载
这对嘛？#光遇 #光遇追光计划 #真实生活分享计划 #光遇花憩节 #光遇人均小太阳 f:@随心 @Sky-星屿,2026-04-03 10:00:00,心动悖论,29860621102,是,1502258,68818,0,4.58,0
这个监护我不要了#光遇 #光遇追光计划 #光遇人均小太阳 #光遇花憩节,2026-04-09 14:27:19,六八（люба),sky_liuba,是,1478545,130604,0,8.83,0
我又没台词吗？ #光遇花憩节 #光遇人均小太阳 #光遇 #光遇追光计划 #光遇日常,2026-04-07 17:42:45,白鹳飞南了,_corhydrae_,是,1444382,272866,0,18.89,0
